id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,comments,scientific_name,GBIF_ID
f4f291f6228db44ac27bf1ba495f9ada,pythonsebae,,image/jpeg,reptile_snake_Boidae_Python_sebae_young_Hombori_08_2006_back_skin_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
fa23dc42665b2906bd11f9c6d744185f,pythonsebae,dead;head,image/jpeg,reptile_snake_Boidae_Python_sebae_Hombori_08_2006_head_from_top_60598_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Python sebae,2465346
2ef8c3b74f2528be9b35f70156300f1c,pytiliamelba,general;male;thumbnail1,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/2.0/,http://commons.wikimedia.org/wiki/File:Green-winged_Pytilia_(Pytilia_melba).jpg,,Pytilia melba,2493716
5f556bd359f16c10177b550d1a09d71b,pytiliamelba,general;female;thumbnail2,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,http://commons.wikimedia.org/wiki/File:Green-winged_Pytilia_female_RWD.jpg,,Pytilia melba,2493716
f44a3a47f3f88aabd9e345f66820bc22,pytiliamelba,general;thumbnail3,image/jpeg,,Hans Stieglitz,,,,http://creativecommons.org/licenses/by-sa/3.0/,http://media.eol.org/data_objects/27240298,"<b>English:</b> 1=Melba finch (Pytilia melba), Okonjima, Namibia &nbsp;<b>German:</b> 1=Melba-Fink (Pytilia melba), Okonjima, Namibia",Pytilia melba,2493716
109ade240fe918fc3c18b306b7fd7b5f,pyxicephalusadspersus,general,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/6/6d/PyxicephalusAdspersus01.jpg/399px-PyxicephalusAdspersus01.jpg,Alexis Naumann,1976-02-07,"Zoo Dresden, Germany",,http://en.wikipedia.org/wiki/Public_domain,,,Pyxicephalus adspersus,2429965
224f76c2916f6c502ba2347d75f6c62c,pyxicephalusadspersus,general;thumbnail1,image/jpeg,,,,,,https://creativecommons.org/licenses/by-sa/3.0/,"http://commons.wikimedia.org/wiki/File:Pyxicephalus_adspersus,_Boston_Aquarium.jpg",,Pyxicephalus adspersus,2429965
4f4727ae9b1be906dcd49465a35b2c54,pyxicephalusadspersus,head;thumbnail2,,,Alexis Naumann,1976-02-07,"Zoo Dresden, Germany",,http://en.wikipedia.org/wiki/Public_domain,,,Pyxicephalus adspersus,2429965
ac6fc5ffc510def39caa44634dde3b7c,pyxicephalusadspersus,pair;thumbnail3,image/jpeg,,Ltshears,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/26926542,<b>English:</b> 1=African Bullfrogs (Pyxicephalus adspersus) at Newport Aquarium,Pyxicephalus adspersus,2429965
0ba2acfb50e6996e83678924afc0b759,queleaquelea,general;thumbnail1,image/jpeg,,Pawel Ryszawa,,,,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/27090381,"<b>English:</b> 1=An adult male <a href='http://commons.wikimedia.org/wiki/:en:Red-billed Quelea'>Red-billed Quelea</a> in Warsaw Zoo, Poland. &nbsp;<b>Polish:</b> 1=<a href='http://commons.wikimedia.org/wiki/:pl:Wikłacz czerwonodzioby'>Wikłacz czerwonodzioby</a> w warszawskim ZOO",Quelea quelea,2493987
0c46f5ef0d0a32b6a70763dcf27b73b6,queleaquelea,,image/jpeg,bird_Quelea_quelea_male_Douentza_07_2009_side_60158_JH.JPG,Jeff Heath and the Dogon and Bangime Languages Project,2011,,,http://creativecommons.org/licenses/by/4.0/,http://dogonlanguages.org,,Quelea quelea,2493987
0fc7f590ccfddff6db97c3174d4b7f8e,queleaquelea,drawing;thumbnail2,image/jpeg,,Creator:John Gerrard Keulemans,,,,http://creativecommons.org/publicdomain/mark/1.0/,http://media.eol.org/data_objects/31955186,<b>English:</b> « <i>Ploceus sanguinolenta</i> » = <i>Quelea quelea</i> (<a href='http://commons.wikimedia.org/wiki/:en:Red-billed quelea'>Red-billed quelea</a>) - male and female&nbsp;<b>French:</b> « <i>Ploceus sanguinolenta</i> » = <i>Quelea quelea</i> (<a href='http://commons.wikimedia.org/wiki/:fr:Travailleur à bec rouge'>Travailleur à bec rouge</a>) - mâle et femelle,Quelea quelea,2493987
1c8823b5aa9ad7e2c685c0c2f876acbe,queleaquelea,group,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/4/4a/QueleaQuelea02.jpg,Atamari,2007-07-01,unknown,,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Quelea_quelea_0001.jpg,,Quelea quelea,2493987
77816a75ea66c7748cdfe93735dc375e,queleaquelea,front,image/jpeg,,Simon J. Tonge,2013-05-02,"Dambari Field Station (Matabeleland, Zimbabwe)",,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/24592737,,Quelea quelea,2493987
82159291dd34b102042e29971d97ea6b,queleaquelea,group;thumbnail3,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/b/be/QueleaQuelea01.jpg,Alastair Rae,unknown,unknown,,http://creativecommons.org/licenses/by-sa/2.0/deed.en,http://commons.wikimedia.org/wiki/File:Red-billed_Quelea.jpg,,Quelea quelea,2493987
